district,month,category,unit_qty,unit_price,unit_total_cost
District 14,February,Office supplies,6,2.0899999,12.539999
District 14,February,Food,15,2.54,38.099998
District 14,February,Food,3,2.5999999,7.7999997
District 14,February,Office supplies,9,1.88,16.92
District 14,February,Office supplies,13,1.04,13.52
District 14,March,Mentors,2,5,10
District 14,March,Office supplies,19,.54000002,10.26
District 14,March,Office supplies,20,.039999999,.79999995
District 14,March,Food,17,2.03,34.509998
District 14,March,Food,19,1.17,22.23
District 14,March,Office supplies,4,1.86,7.4400001
District 14,March,Office supplies,10,.89999998,9
District 14,March,Office supplies,20,.090000004,1.8000001
District 14,March,Food,18,.86000001,15.48
District 14,March,Food,12,1.4299999,17.16
District 14,March,Food,15,2.5,37.5
District 14,March,Food,4,1.7,6.8000002
District 14,March,Office supplies,1,2.51,2.51
District 14,March,Food,15,1.88,28.200001
District 14,March,Office supplies,14,.0099999998,.14
District 14,March,Food,16,.25,4
District 14,March,Food,15,1.64,24.6
District 14,March,Office supplies,6,1.2,7.2000003
District 14,March,Office supplies,16,1.5700001,25.120001
District 14,March,Food,13,1.11,14.43
District 14,March,Office supplies,2,1.4400001,2.8800001
District 14,March,Food,14,1.8099999,25.34
District 14,March,Food,7,.41,2.8699999
District 14,March,Food,2,.89999998,1.8
District 14,March,Food,18,.47,8.46
District 14,March,Food,15,2.1900001,32.850002
District 14,March,Food,13,1.49,19.370001
District 14,March,Food,9,1.55,13.95
District 14,March,Food,14,1.4400001,20.16
District 14,March,Office supplies,2,2.96,5.9200001
District 14,March,Office supplies,17,.63,10.71
District 14,April,Mentors,2,5,10
District 14,April,Food,2,1.16,2.3199999
District 14,April,Food,9,.17,1.53
District 14,April,Office supplies,1,1.55,1.55
District 14,April,Food,5,2.22,11.1
District 14,April,Food,16,.079999998,1.28
District 14,April,Office supplies,19,1.15,21.85
District 14,April,Office supplies,20,2.3,46
District 14,April,Food,15,1.91,28.65
District 14,April,Office supplies,1,.98000002,.98000002
District 14,April,Office supplies,13,.44,5.7199998
District 14,April,Office supplies,9,2.3399999,21.059999
District 14,April,Food,18,2.3399999,42.119999
District 14,April,Office supplies,10,.44999999,4.5
District 14,April,Food,6,.050000001,.30000001
District 14,April,Office supplies,1,1.1900001,1.1900001
District 14,April,Office supplies,10,1.02,10.2
District 14,April,Office supplies,8,2.46,19.68
District 14,April,Office supplies,15,.30000001,4.5
District 14,April,Office supplies,8,2.26,18.08
District 14,April,Office supplies,20,2.8099999,56.199997
District 14,April,Food,15,.91000003,13.650001
District 14,April,Office supplies,18,1.37,24.66
District 14,April,Food,11,2.3099999,25.41
District 14,April,Food,6,2.78,16.68
District 14,April,Office supplies,3,2.9100001,8.7300005
District 14,April,Food,5,1.3200001,6.6000004
District 14,May,Mentors,2,5,10
District 14,May,Food,16,2.1400001,34.240002
District 14,May,Office supplies,7,1.04,7.2799997
District 14,May,Food,15,.56,8.3999996
District 14,May,Office supplies,18,2.6600001,47.880001
District 14,May,Food,2,.44999999,.89999998
District 14,May,Food,14,.25,3.5
District 14,May,Office supplies,1,2.5899999,2.5899999
District 14,May,Office supplies,5,2.1099999,10.549999
District 14,May,Office supplies,5,.97000003,4.8500004
District 14,May,Office supplies,20,2.6099999,52.199997
District 14,May,Food,5,.28,1.4
District 14,May,Food,7,1.61,11.27
District 14,May,Office supplies,5,2.78,13.9
District 14,May,Food,14,2.48,34.720001
District 14,May,Food,12,2.53,30.360001
District 14,May,Office supplies,17,2.3699999,40.289997
District 14,May,Food,1,1.15,1.15
District 14,May,Food,15,.47999999,7.1999998
District 14,May,Office supplies,12,.38999999,4.6799998
District 14,May,Office supplies,1,1.1799999,1.1799999
District 14,May,Office supplies,8,1.97,15.76
District 14,May,Food,7,1.34,9.3800001
District 14,May,Office supplies,3,.14,.42000002
District 14,June,Mentors,2,5,10
District 14,June,Office supplies,7,.92000002,6.4400001
District 14,June,Food,20,2.77,55.400002
District 14,June,Food,16,.38,6.0799999
District 14,June,Office supplies,12,1.85,22.200001
District 14,June,Office supplies,14,1.45,20.300001
District 14,June,Office supplies,12,1.03,12.36
District 14,June,Food,13,2.47,32.110001
District 14,June,Office supplies,11,2.03,22.33
District 14,June,Food,7,.79000002,5.5300002
District 14,June,Food,8,.079999998,.63999999
District 14,June,Office supplies,9,1.2,10.8
District 14,June,Office supplies,14,.31999999,4.48
District 14,June,Office supplies,16,.89999998,14.4
District 14,June,Office supplies,14,.51999998,7.2799997
District 14,June,Office supplies,3,1.23,3.6900001
District 14,June,Food,19,.38999999,7.4099998
District 14,June,Food,16,.5,8
District 14,June,Food,18,2.3,41.399998
District 14,June,Office supplies,19,.19,3.6099999
District 14,June,Food,6,2.6300001,15.780001
District 14,June,Food,14,2.78,38.919998
District 14,July,Mentors,2,5,10
District 14,July,Food,13,.25999999,3.3799999
District 14,July,Office supplies,4,1,4
District 14,July,Food,12,1.92,23.039999
District 14,July,Office supplies,14,1.33,18.620001
District 14,July,Food,5,1.47,7.3500004
District 14,July,Food,11,1.08,11.88
District 14,July,Food,5,.88999999,4.4499998
District 14,July,Office supplies,1,.58999997,.58999997
District 14,July,Food,13,1.28,16.639999
District 14,July,Office supplies,13,1.97,25.610001
District 14,July,Food,3,1.67,5.0099998
District 14,July,Office supplies,1,3,3
District 14,July,Food,14,.050000001,.69999999
District 14,July,Office supplies,9,.75,6.75
District 14,July,Food,7,2.1900001,15.33
District 14,July,Food,7,1.09,7.6300001
District 14,July,Food,6,1.47,8.8199997
District 14,July,Food,20,1.72,34.400002
District 14,July,Office supplies,12,2.8199999,33.84
District 14,July,Office supplies,2,2.0799999,4.1599998
District 14,July,Food,8,2.3,18.4
District 14,July,Food,7,2.1099999,14.77
District 14,July,Food,9,.81999999,7.3800001
District 14,July,Food,9,.97000003,8.7300005
District 14,July,Office supplies,15,.80000001,12
District 14,August,Mentors,2,5,10
District 14,August,Office supplies,2,.49000001,.98000002
District 14,August,Office supplies,12,2.24,26.880001
District 14,August,Office supplies,16,1.9400001,31.040001
District 14,August,Office supplies,7,2.5599999,17.92
District 14,August,Food,5,.44999999,2.25
District 14,August,Office supplies,11,2.24,24.639999
District 14,August,Food,11,2.51,27.610001
District 14,August,Office supplies,19,.87,16.530001
District 14,August,Food,3,.88999999,2.6700001
District 14,August,Food,6,1.22,7.3200002
District 14,August,Food,10,.44999999,4.5
District 14,August,Food,10,1.14,11.4
District 14,August,Office supplies,3,1.5599999,4.6799998
District 14,August,Food,14,1.4299999,20.019999
District 14,August,Office supplies,15,1.25,18.75
District 14,August,Food,20,2.1500001,43
District 14,August,Food,3,1.14,3.4200001
District 14,August,Food,13,1.26,16.379999
District 14,August,Office supplies,13,1.3099999,17.029999
District 14,August,Food,9,1.78,16.02
District 14,August,Office supplies,14,2.45,34.299999
District 14,August,Food,9,2.98,26.82
District 14,August,Office supplies,14,1.6,22.4
District 14,August,Food,13,.83999997,10.92
District 14,September,Mentors,2,5,10
District 14,September,Food,4,2.1400001,8.5600004
District 14,September,Office supplies,13,.12,1.5599999
District 14,September,Office supplies,3,.36000001,1.08
District 14,September,Office supplies,13,1.35,17.550001
District 14,September,Office supplies,8,.15000001,1.2
District 14,September,Office supplies,6,2.7,16.200001
District 14,September,Office supplies,13,1.9,24.699999
District 14,September,Office supplies,10,1.91,19.1
District 14,September,Food,16,1.09,17.440001
District 14,September,Office supplies,2,2.6300001,5.2600002
District 14,September,Food,10,2.74,27.4
District 14,September,Food,10,2.8499999,28.5
District 14,September,Food,12,1.86,22.32
District 14,September,Food,19,2.79,53.009998
District 14,September,Food,6,2.6500001,15.900001
District 14,September,Food,1,2.1500001,2.1500001
District 14,September,Food,10,.67000002,6.7000003
District 14,September,Office supplies,19,1.5599999,29.639999
District 14,September,Food,19,1.53,29.07
District 14,September,Office supplies,11,2.5599999,28.16
District 14,October,Mentors,2,5,10
District 14,October,Food,5,2.46,12.3
District 14,October,Food,7,.36000001,2.52
District 14,October,Office supplies,6,2.73,16.380001
District 14,October,Office supplies,3,.2,.60000002
District 14,October,Food,1,1.39,1.39
District 14,October,Food,8,1.3200001,10.56
District 14,October,Office supplies,4,1.67,6.6799998
District 14,October,Food,16,1.75,28
District 14,October,Office supplies,15,.79000002,11.85
District 14,October,Office supplies,19,2.6600001,50.540001
District 14,October,Office supplies,16,2.8699999,45.919998
District 14,October,Office supplies,2,2.6700001,5.3400002
District 14,October,Office supplies,12,.80000001,9.6000004
District 14,October,Office supplies,15,2.0699999,31.049999
District 14,October,Food,15,.23999999,3.5999999
District 14,October,Office supplies,18,.41999999,7.5599999
District 14,October,Office supplies,12,1.91,22.92
District 14,October,Food,4,1.58,6.3200002
District 14,October,Food,17,1.96,33.32
District 14,October,Food,19,1.49,28.309999
District 14,October,Office supplies,8,1.92,15.36
District 14,October,Food,3,.72000003,2.1600001
District 14,November,Mentors,2,5,10
District 14,November,Food,7,2.1600001,15.120001
District 14,November,Food,19,2.24,42.560001
District 14,November,Office supplies,3,.22,.65999997
District 14,November,Food,1,.94999999,.94999999
District 14,November,Food,3,2.96,8.8800001
District 14,November,Office supplies,13,.75,9.75
District 14,November,Office supplies,11,.38999999,4.29
District 14,November,Office supplies,3,1.72,5.1599998
District 14,November,Office supplies,2,2.1400001,4.2800002
District 14,November,Food,8,.079999998,.63999999
District 14,November,Food,10,2.4300001,24.300001
District 14,November,Office supplies,18,.69,12.42
District 14,November,Office supplies,13,2.5599999,33.279999
District 14,November,Food,1,2.97,2.97
District 14,November,Food,1,1.72,1.72
District 14,November,Food,4,1.34,5.3600001
District 14,November,Food,2,.44,.88
District 14,November,Office supplies,12,2.25,27
District 14,November,Food,16,2.54,40.639999
District 14,November,Office supplies,12,1,12
District 14,November,Office supplies,11,1.46,16.060001
District 14,November,Food,7,.33000001,2.3100002
District 14,December,Mentors,2,5,10
District 14,December,Office supplies,18,2.6600001,47.880001
District 14,December,Office supplies,1,1.23,1.23
District 14,December,Food,15,1.02,15.299999
District 14,December,Office supplies,4,1.21,4.8400002
District 14,December,Food,14,.50999999,7.1399999
District 14,December,Office supplies,11,1.05,11.549999
District 14,December,Office supplies,3,.38999999,1.17
District 14,December,Food,15,.37,5.5500002
District 14,December,Food,13,2.05,26.65
District 14,December,Food,9,2.8299999,25.469999
District 14,December,Food,14,2.1600001,30.240002
District 14,December,Office supplies,6,.51999998,3.1199999
District 14,December,Office supplies,16,2.3900001,38.240002
District 14,December,Office supplies,3,1.12,3.3600001
District 14,December,Food,9,1.03,9.2699995
District 14,December,Food,5,2.72,13.6
District 14,December,Office supplies,2,1.54,3.0799999
District 14,December,Food,1,1.51,1.51
District 14,December,Food,8,2.3900001,19.120001
District 14,December,Food,1,1.5599999,1.5599999
District 14,December,Office supplies,4,1.25,5
District 14,December,Office supplies,2,1.75,3.5
District 14,December,Office supplies,20,1.12,22.4
District 14,December,Food,17,.02,.34
District 14,December,Office supplies,14,2.1500001,30.100002
District 14,December,Food,11,.23,2.53
District 15,January,Mentors,2,5,10
District 15,January,Food,9,1.0599999,9.539999
District 15,January,Food,17,1.39,23.629999
District 15,January,Office supplies,8,2.1600001,17.280001
District 15,January,Food,19,1.89,35.91
District 15,January,Office supplies,12,.94,11.28
District 15,January,Office supplies,15,1.65,24.75
District 15,January,Office supplies,1,2.95,2.95
District 15,January,Office supplies,4,2.1700001,8.6800003
District 15,January,Food,15,.54000002,8.1000004
District 15,January,Food,3,2.8499999,8.5499992
District 15,January,Food,4,.1,.40000001
District 15,January,Food,1,1.6900001,1.6900001
District 15,January,Office supplies,1,.20999999,.20999999
District 15,January,Office supplies,19,.99000001,18.809999
District 15,January,Food,11,.34,3.74
District 15,January,Food,1,.47999999,.47999999
District 15,January,Office supplies,17,.69999999,11.9
District 15,January,Food,13,.66000003,8.5799999
District 15,January,Food,13,2.52,32.759998
District 15,February,Mentors,2,5,10
District 15,February,Office supplies,18,.23,4.1399999
District 15,February,Food,20,2.03,40.599998
District 15,February,Office supplies,6,2.1800001,13.08
District 15,February,Office supplies,16,.22,3.52
District 15,February,Office supplies,18,.87,15.66
District 15,February,Food,4,.25,1
District 15,February,Office supplies,16,.12,1.92
District 15,February,Food,12,1.88,22.559999
District 15,February,Food,6,1.5,9
District 15,February,Office supplies,4,.34,1.36
District 15,February,Office supplies,18,.77999997,14.039999
District 15,February,Office supplies,6,.55000001,3.3000002
District 15,February,Office supplies,16,.38999999,6.2399998
District 15,February,Food,8,2.4300001,19.440001
District 15,February,Office supplies,17,2.6600001,45.220001
District 15,February,Food,14,2.8599999,40.039997
District 15,February,Office supplies,17,.57999998,9.8599997
District 15,February,Office supplies,14,1.13,15.82
District 15,February,Office supplies,15,.49000001,7.3500004
District 15,February,Office supplies,16,1.39,22.24
District 15,February,Food,18,1.33,23.940001
District 15,February,Office supplies,12,1.97,23.639999
District 15,February,Food,19,1.9400001,36.860001
District 15,March,Mentors,2,5,10
District 15,March,Food,3,.43000001,1.29
District 15,March,Office supplies,17,.090000004,1.5300001
District 15,March,Food,5,2.73,13.65
District 15,March,Office supplies,1,.28999999,.28999999
District 15,March,Food,8,.40000001,3.2
District 15,March,Office supplies,17,2.6199999,44.539997
District 15,March,Food,17,2.9200001,49.639999
District 15,March,Food,8,1.49,11.92
District 15,March,Food,10,2.9300001,29.300001
District 15,March,Office supplies,5,1.2,6
District 15,March,Office supplies,19,1.49,28.309999
District 15,March,Food,19,.28,5.3200002
District 15,March,Food,11,2.1300001,23.43
District 15,March,Office supplies,20,.60000002,12
District 15,March,Food,16,2.8900001,46.240002
District 15,March,Office supplies,17,2.3699999,40.289997
District 15,March,Office supplies,9,2.52,22.68
District 15,March,Food,11,.94,10.34
District 15,April,Mentors,2,5,10
District 15,April,Food,18,.17,3.0599999
District 15,April,Food,9,1.22,10.98
District 15,April,Office supplies,8,2.4200001,19.360001
District 15,April,Office supplies,12,.11,1.3199999
District 15,April,Office supplies,6,2.8099999,16.860001
District 15,April,Food,11,.079999998,.88
District 15,April,Office supplies,2,.27000001,.54000002
District 15,April,Office supplies,2,.89999998,1.8
District 15,April,Food,6,2.5999999,15.599999
District 15,April,Office supplies,17,2.99,50.830002
District 15,April,Office supplies,8,1.9,15.2
District 15,April,Office supplies,16,.44999999,7.1999998
District 15,April,Food,16,1.85,29.6
District 15,April,Office supplies,17,2.98,50.66
District 15,April,Office supplies,19,2.3900001,45.410004
District 15,April,Food,1,.11,.11
District 15,April,Office supplies,17,1.99,33.830002
District 15,April,Office supplies,19,2.1099999,40.089996
District 15,April,Office supplies,17,1.09,18.530001
District 15,May,Mentors,2,5,10
District 15,May,Office supplies,18,2.48,44.639999
District 15,May,Office supplies,11,.43000001,4.73
District 15,May,Food,10,.40000001,4
District 15,May,Office supplies,3,.73000002,2.1900001
District 15,May,Food,17,.18000001,3.0600002
District 15,May,Office supplies,12,.07,.84000003
District 15,May,Food,3,.40000001,1.2
District 15,May,Food,13,.70999998,9.2299995
District 15,May,Food,20,2.75,55
District 15,May,Food,8,1.99,15.92
District 15,May,Office supplies,11,2.97,32.670002
District 15,May,Office supplies,19,.34,6.46
District 15,May,Office supplies,16,2.25,36
District 15,May,Office supplies,10,2.6400001,26.400002
District 15,May,Office supplies,4,.79000002,3.1600001
District 15,May,Food,1,2.96,2.96
District 15,May,Food,15,2.1900001,32.850002
District 15,May,Food,13,.66000003,8.5799999
District 15,May,Office supplies,8,2.46,19.68
District 15,May,Office supplies,7,.47999999,3.3599999
District 15,May,Office supplies,1,.87,.87
District 15,May,Office supplies,10,1.0700001,10.700001
District 15,May,Office supplies,3,2.28,6.8400002
District 15,June,Mentors,2,5,10
District 15,June,Food,20,2.5699999,51.399998
District 15,June,Food,17,1.17,19.889999
District 15,June,Food,8,.83999997,6.7199998
District 15,June,Food,11,1.3,14.299999
District 15,June,Food,12,1.61,19.32
District 15,June,Office supplies,3,1.09,3.27
District 15,June,Office supplies,18,1.76,31.68
District 15,June,Office supplies,20,.98000002,19.6
District 15,June,Office supplies,19,.19,3.6099999
District 15,June,Office supplies,20,.25,5
District 15,June,Food,14,2.6300001,36.82
District 15,June,Food,10,2.9200001,29.200001
District 15,June,Office supplies,2,.38999999,.77999997
District 15,June,Food,10,.029999999,.29999998
District 15,June,Food,9,2.8699999,25.829998
District 15,June,Office supplies,3,2.98,8.9400005
District 15,June,Office supplies,4,.91000003,3.6400001
District 15,July,Mentors,2,5,10
District 15,July,Food,17,2.6700001,45.389999
District 15,July,Food,13,.79000002,10.27
District 15,July,Office supplies,2,.92000002,1.84
District 15,July,Food,5,.83999997,4.1999998
District 15,July,Office supplies,7,2.8,19.6
District 15,July,Food,17,.2,3.4000001
District 15,July,Office supplies,8,2.45,19.6
District 15,July,Food,5,2.05,10.25
District 15,July,Office supplies,6,2.0599999,12.36
District 15,July,Food,12,1.5,18
District 15,July,Office supplies,3,1.76,5.2799997
District 15,July,Office supplies,19,1.2,22.800001
District 15,July,Food,20,2.78,55.599998
District 15,July,Food,2,1.77,3.54
District 15,July,Food,12,1.87,22.440001
District 15,July,Office supplies,8,1.4299999,11.44
District 15,July,Food,1,.75,.75
District 15,July,Office supplies,4,.88999999,3.5599999
District 15,July,Office supplies,15,1.63,24.450001
District 15,August,Mentors,2,5,10
District 15,August,Food,15,.91000003,13.650001
District 15,August,Food,20,2.4300001,48.600002
District 15,August,Food,3,1.87,5.6100001
District 15,August,Office supplies,17,1.11,18.870001
District 15,August,Food,14,.86000001,12.04
District 15,August,Office supplies,3,2.1500001,6.4500003
District 15,August,Office supplies,1,2.4300001,2.4300001
District 15,August,Food,11,.93000001,10.23
District 15,August,Office supplies,17,2.1300001,36.210003
District 15,August,Office supplies,10,.88999999,8.8999996
District 15,August,Food,15,2.0599999,30.9
District 15,August,Office supplies,13,1.01,13.13
District 15,August,Office supplies,9,1.92,17.279999
District 15,August,Food,18,2,36
District 15,August,Food,7,2.1199999,14.839999
District 15,August,Office supplies,11,1.96,21.560001
District 15,August,Food,11,2.0599999,22.66
District 15,August,Office supplies,17,1.77,30.09
District 15,August,Food,20,.98000002,19.6
District 15,August,Food,11,1.67,18.369999
District 15,August,Food,1,2.5599999,2.5599999
District 15,September,Mentors,2,5,10
District 15,September,Office supplies,7,.23999999,1.6799999
District 15,September,Food,16,1.61,25.76
District 15,September,Food,18,1.11,19.98
District 15,September,Food,12,.92000002,11.04
District 15,September,Food,2,2.74,5.48
District 15,September,Office supplies,15,1.01,15.15
District 15,September,Office supplies,13,1.83,23.790001
District 15,September,Office supplies,20,1.29,25.799999
District 15,September,Food,6,1.78,10.68
District 15,September,Office supplies,12,.44,5.2799997
District 15,September,Food,2,2.1500001,4.3000002
District 15,September,Office supplies,1,1.49,1.49
District 15,September,Food,9,1.02,9.1800003
District 15,September,Office supplies,13,2.99,38.869999
District 15,September,Office supplies,13,.039999999,.51999998
District 15,September,Food,5,2.3099999,11.549999
District 15,September,Office supplies,1,1.04,1.04
District 15,September,Food,3,.81999999,2.46
District 15,September,Office supplies,8,2.22,17.76
District 15,September,Food,3,.23999999,.71999997
District 15,September,Food,7,2.8299999,19.809999
District 15,September,Office supplies,8,2.6700001,21.360001
District 15,September,Food,16,2.1199999,33.919998
District 15,September,Food,1,.64999998,.64999998
District 15,September,Office supplies,10,.95999998,9.5999994
District 15,September,Food,4,.0099999998,.039999999
District 15,October,Mentors,2,5,10
District 15,October,Office supplies,4,.40000001,1.6
District 15,October,Office supplies,13,1.8099999,23.529999
District 15,October,Office supplies,13,2.99,38.869999
District 15,October,Office supplies,9,.69,6.21
District 15,October,Food,14,1.71,23.940001
District 15,October,Food,13,2.96,38.48
District 15,October,Food,11,1.83,20.130001
District 15,October,Food,11,.81999999,9.0199995
District 15,October,Office supplies,6,1.24,7.4400001
District 15,October,Office supplies,6,1.98,11.88
District 15,October,Food,11,.51999998,5.7199998
District 15,October,Food,9,.56999999,5.1300001
District 15,October,Office supplies,2,.029999999,.059999999
District 15,October,Food,9,2.5,22.5
District 15,October,Office supplies,12,.64999998,7.7999997
District 15,October,Food,7,.14,.98000002
District 15,October,Office supplies,17,.46000001,7.8200002
District 15,October,Office supplies,11,1.05,11.549999
District 15,October,Food,7,2.71,18.970001
District 15,October,Office supplies,2,2.1199999,4.2399998
District 15,November,Mentors,2,5,10
District 15,November,Food,18,2.9300001,52.740002
District 15,November,Food,5,1.08,5.4000001
District 15,November,Food,13,2.45,31.85
District 15,November,Office supplies,8,1.63,13.04
District 15,November,Food,20,.64999998,13
District 15,November,Food,20,.2,4
District 15,November,Food,20,1.12,22.4
District 15,November,Food,1,.43000001,.43000001
District 15,November,Office supplies,18,1.14,20.52
District 15,November,Food,6,2.1300001,12.780001
District 15,November,Office supplies,4,1.99,7.96
District 15,November,Office supplies,19,1.83,34.77
District 15,November,Office supplies,17,1.91,32.470001
District 15,November,Food,1,1.6,1.6
District 15,November,Office supplies,15,1.97,29.550001
District 15,November,Food,12,.75,9
District 15,November,Office supplies,19,.41999999,7.9799995
District 15,November,Food,6,1.8200001,10.92
District 15,November,Food,15,2.1500001,32.25
District 15,November,Food,2,.28999999,.57999998
District 15,November,Office supplies,18,2.3599999,42.48
District 15,November,Office supplies,3,.20999999,.63
District 15,November,Office supplies,1,2.1500001,2.1500001
District 15,November,Food,17,2.97,50.490002
District 15,November,Food,10,2.21,22.1
District 15,November,Office supplies,12,2.3,27.599998
District 15,November,Office supplies,4,1.9,7.5999999
District 15,November,Office supplies,18,1.6900001,30.420002
District 15,December,Mentors,2,5,10
District 15,December,Office supplies,10,1.73,17.299999
District 15,December,Food,6,.58999997,3.54
District 15,December,Food,2,2.47,4.9400001
District 15,December,Office supplies,10,2.9200001,29.200001
District 15,December,Office supplies,7,1.1,7.7000003
District 15,December,Office supplies,6,1.64,9.8400002
District 15,December,Food,19,2.6099999,49.589996
District 15,December,Office supplies,7,1.35,9.4499998
District 15,December,Office supplies,7,2.3800001,16.66
District 15,December,Office supplies,17,.23999999,4.0799999
District 15,December,Office supplies,20,1.71,34.200001
District 15,December,Office supplies,18,.47,8.46
District 15,December,Food,13,.69999999,9.0999994
District 15,December,Food,3,1.09,3.27
District 15,December,Food,3,2.4000001,7.2000003
District 15,December,Office supplies,16,1.34,21.440001
District 16,January,Mentors,2,5,10
District 16,January,Office supplies,9,.19,1.71
District 16,January,Office supplies,5,2.76,13.8
District 16,January,Food,18,.23,4.1399999
District 16,January,Food,4,1.3099999,5.2399998
District 16,January,Food,7,.76999998,5.3899999
District 16,January,Office supplies,15,2.0899999,31.349998
District 16,January,Food,4,2.3800001,9.5200005
District 16,January,Food,6,2.26,13.559999
District 16,January,Food,8,2.54,20.32
District 16,January,Office supplies,8,2.52,20.16
District 16,January,Office supplies,8,1.96,15.68
District 16,January,Food,2,2.1500001,4.3000002
District 16,January,Food,14,2.1199999,29.679998
District 16,January,Office supplies,5,.88,4.4000001
District 16,January,Office supplies,3,2.8399999,8.5199995
District 16,January,Food,19,2.01,38.189999
District 16,January,Office supplies,20,.66000003,13.200001
District 16,February,Mentors,2,5,10
District 16,February,Food,11,1.1900001,13.09
District 16,February,Office supplies,10,2.1800001,21.800001
District 16,February,Office supplies,8,1.61,12.88
District 16,February,Food,3,2.53,7.5900002
District 16,February,Food,6,2.45,14.700001
District 16,February,Office supplies,1,.76999998,.76999998
District 16,February,Food,4,.28,1.12
District 16,February,Office supplies,14,2.8699999,40.18
District 16,February,Office supplies,8,2,16
District 16,February,Food,7,2.8099999,19.67
District 16,February,Office supplies,7,.079999998,.56
District 16,February,Office supplies,10,1.63,16.299999
District 16,February,Office supplies,18,2.0699999,37.259998
District 16,March,Mentors,2,5,10
District 16,March,Food,13,1.66,21.58
District 16,March,Food,16,2.26,36.16
District 16,March,Office supplies,2,2.72,5.4400001
District 16,March,Office supplies,19,2.54,48.259998
District 16,March,Office supplies,19,2.0999999,39.899998
District 16,March,Food,4,2.3199999,9.2799997
District 16,March,Office supplies,1,2,2
District 16,March,Office supplies,16,2.4100001,38.560001
District 16,March,Office supplies,18,2.8,50.399998
District 16,March,Office supplies,17,.38,6.46
District 16,March,Office supplies,12,2.1800001,26.16
District 16,March,Food,13,2.1300001,27.690002
District 16,March,Office supplies,15,.67000002,10.05
District 16,March,Office supplies,5,2.73,13.65
District 16,March,Office supplies,16,.38,6.0799999
District 16,March,Food,9,2.97,26.73
District 16,March,Office supplies,15,.77999997,11.7
District 16,March,Office supplies,17,2.5799999,43.860001
District 16,March,Office supplies,2,.17,.34
District 16,March,Food,2,1.3,2.5999999
District 16,March,Food,4,.43000001,1.72
District 16,March,Office supplies,18,.43000001,7.7400002
District 16,March,Food,9,2.78,25.02
District 16,March,Office supplies,6,2.6800001,16.08
District 16,March,Office supplies,19,2.9100001,55.290001
District 16,March,Food,13,2.6600001,34.580002
District 16,April,Mentors,2,5,10
District 16,April,Food,1,1.54,1.54
District 16,April,Office supplies,2,.40000001,.80000001
District 16,April,Food,3,1.53,4.5900002
District 16,April,Office supplies,12,2.78,33.360001
District 16,April,Food,5,.2,1
District 16,April,Food,4,2.52,10.08
District 16,April,Office supplies,15,1.0599999,15.9
District 16,April,Food,13,.86000001,11.18
District 16,April,Office supplies,12,2.99,35.880001
District 16,April,Food,20,2.5,50
District 16,April,Food,1,.64999998,.64999998
District 16,April,Office supplies,15,2.1099999,31.649998
District 16,April,Office supplies,5,.94999999,4.75
District 16,April,Office supplies,16,1.62,25.92
District 16,April,Food,10,.30000001,3
District 16,April,Office supplies,4,2.74,10.96
District 16,April,Food,2,1.28,2.5599999
District 16,May,Mentors,2,5,10
District 16,May,Food,6,.28,1.6800001
District 16,May,Food,2,1.95,3.9000001
District 16,May,Office supplies,17,2.6600001,45.220001
District 16,May,Office supplies,13,.56,7.2800002
District 16,May,Food,5,.46000001,2.3
District 16,May,Food,2,.50999999,1.02
District 16,May,Office supplies,11,.93000001,10.23
District 16,May,Office supplies,16,.34999999,5.5999999
District 16,May,Food,4,1.12,4.48
District 16,May,Office supplies,16,1.4400001,23.040001
District 16,May,Office supplies,3,2.24,6.7200003
District 16,May,Office supplies,16,2.01,32.16
District 16,May,Office supplies,8,1.98,15.84
District 16,May,Food,11,2.03,22.33
District 16,May,Office supplies,10,.88,8.8000002
District 16,May,Food,11,1.11,12.21
District 16,May,Food,7,1.4400001,10.08
District 16,May,Food,7,2.28,15.96
District 16,May,Office supplies,8,.89999998,7.1999998
District 16,May,Food,6,.23,1.38
District 16,May,Food,3,.41,1.23
District 16,May,Food,10,1.5,15
District 16,May,Office supplies,11,1.79,19.689999
District 16,June,Mentors,2,5,10
District 16,June,Office supplies,11,.69999999,7.6999998
District 16,June,Office supplies,16,1.11,17.76
District 16,June,Food,14,1.36,19.040001
District 16,June,Office supplies,14,1.12,15.68
District 16,June,Food,19,2.99,56.810001
District 16,June,Office supplies,6,1.04,6.2399998
District 16,June,Office supplies,13,1.21,15.73
District 16,June,Office supplies,6,1.7,10.200001
District 16,June,Food,1,2.72,2.72
District 16,June,Food,12,1.38,16.559999
District 16,June,Food,3,2.3099999,6.9299998
District 16,June,Office supplies,8,.67000002,5.3600001
District 16,June,Food,3,2.96,8.8800001
District 16,June,Food,19,2.1099999,40.089996
District 16,June,Food,9,1.67,15.03
District 16,June,Office supplies,17,2.21,37.57
District 16,June,Office supplies,3,1.5700001,4.71
District 16,June,Office supplies,4,2.3599999,9.4399996
District 16,June,Office supplies,18,.77999997,14.039999
District 16,June,Food,16,2.0799999,33.279999
District 16,June,Office supplies,1,1.48,1.48
District 16,June,Office supplies,2,.50999999,1.02
District 16,June,Food,12,1.61,19.32
District 16,July,Mentors,2,5,10
District 16,July,Food,19,.059999999,1.14
District 16,July,Food,19,1.3200001,25.080002
District 16,July,Office supplies,1,2.5999999,2.5999999
District 16,July,Office supplies,8,.22,1.76
District 16,July,Food,5,.50999999,2.55
